first_pokemon,second_pokemon,winner,first_pokemon_name,second_pokemon_name,winner_name
266,298,298,Larvitar,Nuzleaf,Nuzleaf
702,701,701,Virizion,Terrakion,Terrakion
191,668,668,Togetic,Beheeyem,Beheeyem
237,683,683,Slugma,Druddigon,Druddigon
151,231,151,Omastar,Shuckle,Omastar
657,752,657,Joltik,Aegislash Shield Forme,Joltik
192,134,134,Natu,Jynx,Jynx
73,545,545,Machop,Giratina Altered Forme,Giratina Altered Forme
220,763,763,Pineco,Clauncher,Clauncher
302,31,31,Wingull,Pikachu,Pikachu
442,130,130,Starly,Staryu,Staryu
701,624,701,Terrakion,Yamask,Terrakion
15,283,283,Metapod,Swampert,Swampert
151,87,151,Omastar,Slowbro,Omastar
269,462,269,Mega Tyranitar,Mothim,Mega Tyranitar
763,448,448,Clauncher,Kricketune,Kricketune
143,263,263,Lapras,Raikou,Raikou
365,240,240,Swablu,Piloswine,Piloswine
499,774,499,Mega Lucario,Carbink,Mega Lucario
563,578,563,Samurott,Musharna,Samurott
440,687,687,Prinplup,Bisharp,Bisharp
373,441,441,Whiscash,Empoleon,Empoleon
654,671,671,Frillish,Chandelure,Chandelure
121,355,121,Rhydon,Mega Camerupt,Rhydon
609,649,649,Petilil,Emolga,Emolga
270,708,270,Lugia,Zekrom,Lugia
460,568,568,Wormadam Sandy Cloak,Stoutland,Stoutland
626,767,767,Tirtouga,Tyrunt,Tyrunt
139,451,139,Tauros,Luxray,Tauros
694,747,694,Durant,Meowstic Male,Durant
455,549,549,Rampardos,Manaphy,Manaphy
181,301,301,Ledian,Swellow,Swellow
208,184,184,Sunflora,Crobat,Crobat
536,365,536,Fan Rotom,Swablu,Fan Rotom
260,381,381,Magby,Armaldo,Armaldo
471,269,269,Gastrodon,Mega Tyranitar,Mega Tyranitar
621,287,287,Scraggy,Zigzagoon,Zigzagoon
406,134,406,Luvdisc,Jynx,Luvdisc
592,503,503,Mega Audino,Drapion,Drapion
564,242,242,Patrat,Remoraid,Remoraid
579,242,242,Pidove,Remoraid,Remoraid
200,719,200,Azumarill,Chespin,Azumarill
376,135,376,Baltoy,Electabuzz,Baltoy
76,441,441,Bellsprout,Empoleon,Empoleon
667,645,645,Elgyem,Vanillish,Vanillish
475,400,475,Buneary,Sealeo,Buneary
3,737,737,Venusaur,Pyroar,Pyroar
435,45,435,Torterra,Jigglypuff,Torterra
231,146,146,Shuckle,Vaporeon,Vaporeon
510,715,715,Snover,Keldeo Resolute Forme,Keldeo Resolute Forme
456,260,260,Shieldon,Magby,Magby
164,751,751,Mega Mewtwo X,Aegislash Blade Forme,Aegislash Blade Forme
424,754,424,Groudon,Aromatisse,Groudon
258,779,258,Smoochum,Phantump,Smoochum
360,208,208,Trapinch,Sunflora,Sunflora
723,646,646,Braixen,Vanilluxe,Vanilluxe
384,533,533,Castform,Heat Rotom,Heat Rotom
734,673,673,Spewpa,Fraxure,Fraxure
141,721,141,Gyarados,Chesnaught,Gyarados
244,741,244,Delibird,Skiddo,Delibird
509,217,509,Mantyke,Unown,Mantyke
633,44,633,Zoroark,Ninetales,Zoroark
595,719,595,Conkeldurr,Chespin,Conkeldurr
606,40,606,  Scolipede  ,Nidoking,  Scolipede  
368,598,368,Zangoose,Seismitoad,Zangoose
746,584,746,Espurr,Roggenrola,Espurr
350,187,350,Mega Sharpedo,Pichu,Mega Sharpedo
303,198,303,Pelipper,Bellossom,Pelipper
169,701,701,Meganium,Terrakion,Terrakion
569,115,115,Purrloin,Hitmonlee,Hitmonlee
231,172,172,Shuckle,Typhlosion,Typhlosion
71,440,71,Alakazam,Prinplup,Alakazam
659,610,610,Ferroseed,Lilligant,Lilligant
570,557,557,Liepard,Serperior,Serperior
712,40,712,Kyurem Black Kyurem,Nidoking,Kyurem Black Kyurem
451,352,451,Luxray,Wailord,Luxray
661,95,95,Klink,Dewgong,Dewgong
540,4,540,Azelf,Mega Venusaur,Azelf
130,319,130,Staryu,Loudred,Staryu
125,418,418,Mega Kangaskhan,Latias,Latias
309,276,276,Masquerain,Mega Sceptile,Mega Sceptile
579,612,612,Pidove,Sandile,Sandile
716,80,80,Meloetta Aria Forme,Tentacruel,Tentacruel
482,535,535,Chingling,Frost Rotom,Frost Rotom
376,37,37,Baltoy,Nidoqueen,Nidoqueen
6,328,328,Charmeleon,Mega Sableye,Mega Sableye
343,159,159,Volbeat,Moltres,Moltres
509,574,574,Mantyke,Simisear,Simisear
546,530,546,Giratina Origin Forme,Dusknoir,Giratina Origin Forme
486,229,229,Bronzong,Scizor,Scizor
686,213,213,Pawniard,Umbreon,Umbreon
304,386,386,Ralts,Shuppet,Shuppet
514,732,732,Magnezone,Talonflame,Talonflame
161,757,161,Dragonair,Inkay,Dragonair
150,265,265,Omanyte,Suicune,Suicune
436,701,701,Chimchar,Terrakion,Terrakion
221,265,265,Forretress,Suicune,Suicune
436,603,603,Chimchar,Leavanny,Leavanny
242,365,242,Remoraid,Swablu,Remoraid
792,251,792,Noivern,Phanpy,Noivern
607,295,607,Cottonee,Lombre,Cottonee
439,209,209,Piplup,Yanma,Yanma
657,360,657,Joltik,Trapinch,Joltik
436,40,40,Chimchar,Nidoking,Nidoking
325,408,408,Skitty,Shelgon,Shelgon
472,89,472,Ambipom,Magnemite,Ambipom
71,777,71,Alakazam,Goodra,Alakazam
47,615,47,Zubat,Darumaka,Zubat
5,670,5,Charmander,Lampent,Charmander
793,314,314,Xerneas,Slaking,Slaking
195,461,195,Flaaffy,Wormadam Trash Cloak,Flaaffy
493,568,493,Gabite,Stoutland,Gabite
400,341,341,Sealeo,Plusle,Plusle
63,297,63,,Seedot,
541,446,541,Dialga,Bibarel,Dialga
141,152,141,Gyarados,Kabuto,Gyarados
54,115,115,Venonat,Hitmonlee,Hitmonlee
378,161,161,Lileep,Dragonair,Dragonair
224,316,316,Steelix,Ninjask,Ninjask
311,398,398,Breloom,Mega Glalie,Mega Glalie
298,35,298,Nuzleaf,Nidoran♀,Nuzleaf
356,132,356,Torkoal,Mr. Mime,Torkoal
103,370,103,Mega Gengar,Lunatone,Mega Gengar
503,453,503,Drapion,Roserade,Drapion
600,598,600,Sawk,Seismitoad,Sawk
445,45,445,Bidoof,Jigglypuff,Bidoof
360,548,548,Trapinch,Phione,Phione
303,133,133,Pelipper,Scyther,Scyther
51,331,51,Vileplume,Aron,Vileplume
171,559,171,Quilava,Pignite,Quilava
758,129,758,Malamar,Seaking,Malamar
6,255,6,Charmeleon,Smeargle,Charmeleon
698,154,154,Larvesta,Aerodactyl,Aerodactyl
92,491,491,Doduo,Spiritomb,Spiritomb
381,73,381,Armaldo,Machop,Armaldo
354,271,271,Camerupt,Ho-oh,Ho-oh
219,49,219,Girafarig,Oddish,Girafarig
736,244,244,Litleo,Delibird,Delibird
683,245,245,Druddigon,Mantine,Mantine
533,452,533,Heat Rotom,Budew,Heat Rotom
200,588,588,Azumarill,Swoobat,Swoobat
403,636,403,Huntail,Gothita,Huntail
56,561,561,Diglett,Oshawott,Oshawott
54,119,119,Venonat,Weezing,Weezing
629,141,629,Archeops,Gyarados,Archeops
547,779,547,Cresselia,Phantump,Cresselia
380,547,547,Anorith,Cresselia,Cresselia
407,307,307,Bagon,Mega Gardevoir,Mega Gardevoir
153,559,153,Kabutops,Pignite,Kabutops
306,268,306,Gardevoir,Tyranitar,Gardevoir
89,382,89,Magnemite,Feebas,Magnemite
54,32,32,Venonat,Raichu,Raichu
172,745,745,Typhlosion,Furfrou,Furfrou
16,110,110,Butterfree,Electrode,Electrode
537,734,537,Mow Rotom,Spewpa,Mow Rotom
278,94,278,Combusken,Seel,Combusken
342,643,643,Minun,Swanna,Swanna
435,165,165,Torterra,Mega Mewtwo Y,Mega Mewtwo Y
638,691,691,Gothitelle,Vullaby,Vullaby
734,718,718,Spewpa,Genesect,Genesect
298,781,298,Nuzleaf,Pumpkaboo Average Size,Nuzleaf
42,113,42,Clefable,Cubone,Clefable
97,316,97,Muk,Ninjask,Muk
416,397,397,Regice,Glalie,Glalie
483,400,483,Stunky,Sealeo,Stunky
275,155,155,Sceptile,Mega Aerodactyl,Mega Aerodactyl
154,461,154,Aerodactyl,Wormadam Trash Cloak,Aerodactyl
309,4,4,Masquerain,Mega Venusaur,Mega Venusaur
539,30,30,Mesprit,Arbok,Arbok
545,266,545,Giratina Altered Forme,Larvitar,Giratina Altered Forme
283,340,340,Swampert,Mega Manectric,Mega Manectric
232,254,254,Heracross,Stantler,Stantler
384,427,427,Castform,Mega Rayquaza,Mega Rayquaza
161,781,161,Dragonair,Pumpkaboo Average Size,Dragonair
496,420,496,Munchlax,Latios,Munchlax
268,159,159,Tyranitar,Moltres,Moltres
473,593,473,Drifloon,Timburr,Drifloon
550,475,550,Darkrai,Buneary,Darkrai
199,785,785,Marill,Gourgeist Average Size,Gourgeist Average Size
385,732,732,Kecleon,Talonflame,Talonflame
488,196,488,Mime Jr.,Ampharos,Mime Jr.
30,587,30,Arbok,Woobat,Arbok
36,494,494,Nidorina,Garchomp,Garchomp
513,184,184,Weavile,Crobat,Crobat
129,106,129,Seaking,Hypno,Seaking
6,604,6,Charmeleon,Venipede,Charmeleon
137,315,137,Pinsir,Nincada,Pinsir
83,509,509,Golem,Mantyke,Mantyke
585,534,585,Boldore,Wash Rotom,Boldore
743,57,57,Pancham,Dugtrio,Dugtrio
220,723,723,Pineco,Braixen,Braixen
764,665,764,Clawitzer,Eelektrik,Clawitzer
708,439,708,Zekrom,Piplup,Zekrom
28,545,545,Fearow,Giratina Altered Forme,Giratina Altered Forme
23,796,23,Pidgeot,Diancie,Pidgeot
698,147,147,Larvesta,Jolteon,Jolteon
306,635,635,Gardevoir,Cinccino,Cinccino
158,666,158,Zapdos,Eelektross,Zapdos
55,750,750,Venomoth,Doublade,Doublade
513,439,513,Weavile,Piplup,Weavile
769,264,264,Amaura,Entei,Entei
232,499,499,Heracross,Mega Lucario,Mega Lucario
23,623,23,Pidgeot,Sigilyph,Pidgeot
97,250,250,Muk,Kingdra,Kingdra
324,544,544,Nosepass,Regigigas,Regigigas
517,10,517,Tangrowth,Squirtle,Tangrowth
586,461,461,Gigalith,Wormadam Trash Cloak,Wormadam Trash Cloak
779,349,349,Phantump,Sharpedo,Sharpedo
669,226,226,Litwick,Snubbull,Snubbull
623,53,623,Sigilyph,Parasect,Sigilyph
538,718,718,Uxie,Genesect,Genesect
438,242,438,Infernape,Remoraid,Infernape
523,759,523,Glaceon,Binacle,Glaceon
14,103,103,Caterpie,Mega Gengar,Mega Gengar
378,152,152,Lileep,Kabuto,Kabuto
478,361,478,Mismagius,Vibrava,Mismagius
137,698,137,Pinsir,Larvesta,Pinsir
354,739,739,Camerupt,Floette,Floette
233,684,684,Mega Heracross,Golett,Golett
291,605,291,Beautifly,Whirlipede,Beautifly
96,264,264,Grimer,Entei,Entei
730,137,137,Fletchling,Pinsir,Pinsir
129,744,129,Seaking,Pangoro,Seaking
611,107,611,Basculin,Krabby,Basculin
58,560,560,Meowth,Emboar,Emboar
658,146,658,Galvantula,Vaporeon,Galvantula
625,753,625,Cofagrigus,Spritzee,Cofagrigus
524,27,524,Gliscor,Spearow,Gliscor
794,474,794,Yveltal,Drifblim,Yveltal
365,391,391,Swablu,Tropius,Tropius
592,585,592,Mega Audino,Boldore,Mega Audino
512,586,512,Mega Abomasnow,Gigalith,Mega Abomasnow
526,424,424,Porygon-Z,Groudon,Groudon
70,456,70,Kadabra,Shieldon,Kadabra
540,288,540,Azelf,Linoone,Azelf
347,389,347,Swalot,Duskull,Swalot
689,128,128,Rufflet,Goldeen,Goldeen
211,701,701,Quagsire,Terrakion,Terrakion
336,385,336,Medicham,Kecleon,Medicham
594,80,80,Gurdurr,Tentacruel,Tentacruel
785,490,490,Gourgeist Average Size,Chatot,Chatot
425,308,425,Primal Groudon,Surskit,Primal Groudon
27,731,731,Spearow,Fletchinder,Fletchinder
459,399,459,Wormadam Plant Cloak,Spheal,Wormadam Plant Cloak
421,494,421,Mega Latios,Garchomp,Mega Latios
578,768,768,Musharna,Tyrantrum,Tyrantrum
63,82,63,,Graveler,
257,221,257,Hitmontop,Forretress,Hitmontop
4,150,4,Mega Venusaur,Omanyte,Mega Venusaur
546,333,546,Giratina Origin Forme,Aggron,Giratina Origin Forme
308,544,544,Surskit,Regigigas,Regigigas
213,442,213,Umbreon,Starly,Umbreon
575,302,302,Panpour,Wingull,Wingull
